loss_mse 0.000043    loss_niqe 8518.663282   loss_pi: 8491.728480 
loss_mse 0.000043    loss_niqe 8530.551904   loss_pi: 8500.212959 
loss_mse 0.000043    loss_niqe 8551.980745   loss_pi: 8509.999677 
loss_mse 0.000043    loss_niqe 8532.455807   loss_pi: 8495.215147 
loss_mse 0.000043    loss_niqe 8527.708564   loss_pi: 8502.272751 
loss_mse 0.000043    loss_niqe 8537.492800   loss_pi: 8506.354103 
loss_mse 0.000043    loss_niqe 8541.708139   loss_pi: 8509.244316 
loss_mse 0.000043    loss_niqe 8563.005583   loss_pi: 8516.463440 
loss_mse 0.000043    loss_niqe 8567.826056   loss_pi: 8515.715079 
loss_mse 0.000043    loss_niqe 8561.568195   loss_pi: 8512.549266 
loss_mse 0.000043    loss_niqe 8551.152744   loss_pi: 8507.353560 
loss_mse 0.000043    loss_niqe 8553.810266   loss_pi: 8512.746337 
loss_mse 0.000043    loss_niqe 8559.007798   loss_pi: 8506.778869 
loss_mse 0.000043    loss_niqe 8551.697699   loss_pi: 8510.342081 
loss_mse 0.000043    loss_niqe 8556.382591   loss_pi: 8512.677530 
loss_mse 0.000043    loss_niqe 8553.545692   loss_pi: 8511.337925 
loss_mse 0.000043    loss_niqe 8547.763251   loss_pi: 8512.405416 
loss_mse 0.000043    loss_niqe 8561.486428   loss_pi: 8517.157512 
loss_mse 0.000043    loss_niqe 8576.080062   loss_pi: 8520.840798 
loss_mse 0.000042    loss_niqe 8551.110797   loss_pi: 8507.213358 
loss_mse 0.000042    loss_niqe 8579.322557   loss_pi: 8519.687084 
loss_mse 0.000042    loss_niqe 8565.797314   loss_pi: 8512.806134 
loss_mse 0.000042    loss_niqe 8580.340032   loss_pi: 8521.157485 
loss_mse 0.000042    loss_niqe 8592.657087   loss_pi: 8522.826795 
loss_mse 0.000042    loss_niqe 8576.677562   loss_pi: 8515.592369 
loss_mse 0.000042    loss_niqe 8563.313541   loss_pi: 8512.516306 
loss_mse 0.000042    loss_niqe 8588.854686   loss_pi: 8521.446347 
loss_mse 0.000042    loss_niqe 8577.255904   loss_pi: 8516.458676 
loss_mse 0.000041    loss_niqe 8581.880199   loss_pi: 8525.032931 
loss_mse 0.000041    loss_niqe 8593.397042   loss_pi: 8521.501628 
loss_mse 0.000041    loss_niqe 8563.118774   loss_pi: 8515.477445 
loss_mse 0.000041    loss_niqe 8584.060262   loss_pi: 8522.732215 
loss_mse 0.000041    loss_niqe 8581.079488   loss_pi: 8523.478585 
loss_mse 0.000041    loss_niqe 8576.510107   loss_pi: 8513.827456 
loss_mse 0.000041    loss_niqe 8569.816145   loss_pi: 8525.923029 
loss_mse 0.000041    loss_niqe 8565.515703   loss_pi: 8521.490086 
loss_mse 0.000041    loss_niqe 8586.698701   loss_pi: 8521.590704 
loss_mse 0.000041    loss_niqe 8587.295429   loss_pi: 8522.986776 
loss_mse 0.000041    loss_niqe 8566.297243   loss_pi: 8514.890890 
loss_mse 0.000040    loss_niqe 8574.456009   loss_pi: 8519.137524 
loss_mse 0.000041    loss_niqe 8593.890036   loss_pi: 8526.394099 
loss_mse 0.000041    loss_niqe 8571.164478   loss_pi: 8517.153036 
loss_mse 0.000040    loss_niqe 8554.171984   loss_pi: 8511.091778 
loss_mse 0.000040    loss_niqe 8562.523133   loss_pi: 8512.554260 
loss_mse 0.000040    loss_niqe 8563.280025   loss_pi: 8520.902646 
loss_mse 0.000040    loss_niqe 8578.724313   loss_pi: 8523.746248 
loss_mse 0.000040    loss_niqe 8574.802990   loss_pi: 8524.642932 
