step 2130.000000    loss_mse 0.000056    loss_niqe 9032.272635   loss_pi: 8750.785652 
step 2140.000000    loss_mse 0.000056    loss_niqe 9002.064776   loss_pi: 8738.341408 
step 2150.000000    loss_mse 0.000056    loss_niqe 9021.888912   loss_pi: 8755.560742 
step 2160.000000    loss_mse 0.000056    loss_niqe 9049.834184   loss_pi: 8762.787657 
step 2170.000000    loss_mse 0.000056    loss_niqe 9018.118251   loss_pi: 8739.689675 
step 2180.000000    loss_mse 0.000056    loss_niqe 9037.773110   loss_pi: 8753.342526 
step 2190.000000    loss_mse 0.000056    loss_niqe 9035.776488   loss_pi: 8758.086379 
step 2200.000000    loss_mse 0.000056    loss_niqe 9047.126720   loss_pi: 8758.955621 
step 2210.000000    loss_mse 0.000056    loss_niqe 9038.039805   loss_pi: 8756.935128 
step 2220.000000    loss_mse 0.000056    loss_niqe 9026.843146   loss_pi: 8747.324776 
step 2230.000000    loss_mse 0.000056    loss_niqe 9035.399658   loss_pi: 8755.649727 
step 2240.000000    loss_mse 0.000057    loss_niqe 9017.907217   loss_pi: 8741.935943 
step 2250.000000    loss_mse 0.000057    loss_niqe 9041.612613   loss_pi: 8754.638394 
step 2260.000000    loss_mse 0.000056    loss_niqe 9036.919514   loss_pi: 8754.475401 
step 2270.000000    loss_mse 0.000057    loss_niqe 9039.564436   loss_pi: 8749.917556 
step 2280.000000    loss_mse 0.000057    loss_niqe 9010.673712   loss_pi: 8739.778975 
step 2290.000000    loss_mse 0.000057    loss_niqe 9048.975361   loss_pi: 8762.420764 
step 2300.000000    loss_mse 0.000057    loss_niqe 9036.096920   loss_pi: 8754.324672 
step 2310.000000    loss_mse 0.000057    loss_niqe 9049.732616   loss_pi: 8759.423142 
step 2320.000000    loss_mse 0.000057    loss_niqe 9057.069159   loss_pi: 8759.135353 
step 2330.000000    loss_mse 0.000057    loss_niqe 9028.291888   loss_pi: 8748.205684 
step 2340.000000    loss_mse 0.000057    loss_niqe 9049.446539   loss_pi: 8761.087731 
step 2350.000000    loss_mse 0.000057    loss_niqe 9033.431156   loss_pi: 8758.338395 
step 2360.000000    loss_mse 0.000057    loss_niqe 9029.701633   loss_pi: 8749.969562 
step 2370.000000    loss_mse 0.000057    loss_niqe 9043.701781   loss_pi: 8763.076812 
step 2380.000000    loss_mse 0.000057    loss_niqe 9032.705305   loss_pi: 8753.219534 
step 2390.000000    loss_mse 0.000057    loss_niqe 9037.357693   loss_pi: 8754.875705 
step 2400.000000    loss_mse 0.000057    loss_niqe 9034.507618   loss_pi: 8759.239776 
step 2410.000000    loss_mse 0.000057    loss_niqe 9059.186841   loss_pi: 8763.642660 
step 2420.000000    loss_mse 0.000057    loss_niqe 9062.452175   loss_pi: 8765.767895 
step 2430.000000    loss_mse 0.000057    loss_niqe 9053.111209   loss_pi: 8762.016882 
step 2440.000000    loss_mse 0.000057    loss_niqe 9062.799750   loss_pi: 8766.478034 
step 2450.000000    loss_mse 0.000057    loss_niqe 9069.156481   loss_pi: 8771.415086 
step 2460.000000    loss_mse 0.000057    loss_niqe 9037.963166   loss_pi: 8754.053890 
step 2470.000000    loss_mse 0.000057    loss_niqe 9044.720301   loss_pi: 8753.818309 
step 2480.000000    loss_mse 0.000057    loss_niqe 9067.273371   loss_pi: 8771.931463 
step 2490.000000    loss_mse 0.000057    loss_niqe 9008.473359   loss_pi: 8742.131284 
